Update: QualifiedName|#|junit.framework.TestCase
Insert: MethodInvocation|#|assertEquals
Delete: MethodInvocation|#|assertNull
Delete: MethodInvocation|#|assertEquals
Delete: MethodInvocation|#|assertEquals
Delete: MethodInvocation|#|assertEquals
Delete: MethodInvocation|#|assertEquals
Delete: ImportDeclaration
Delete: ImportDeclaration
Delete: Modifier|#|public
Delete: MarkerAnnotation
Delete: MethodInvocation|#|assertNotNull
Delete: MethodInvocation|#|assertNull
Delete: MarkerAnnotation
Delete: MethodInvocation|#|assertNotNull
